City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,kara,TG,9.5511,1.1861,95.0,8,27,8.05
98,kaitangata,NZ,-46.2817,169.8464,52.07,96,97,3.18
99,darab,IR,28.7519,54.5444,71.51,21,4,1.28
100,bambous virieux,MU,-20.3428,57.7575,78.8,83,40,3.44
101,norman wells,CA,65.282,-126.8329,-5.8,71,75,17.27
102,geraldton,AU,-28.7667,114.6,68.0,77,8,4.61
103,horki,BY,54.2861,30.9842,41.77,87,97,0.96
104,tazovskiy,RU,67.4667,78.7,-9.71,99,50,8.03
105,pavlodar,KZ,52.3,76.95,32.0,93,90,13.42
106,mamallapuram,IN,12.6264,80.1722,82.4,83,20,4.61
107,cape town,ZA,-33.9258,18.4232,71.01,68,0,9.22
108,mapiri,BO,-15.25,-68.1667,68.11,99,100,1.12
109,charters towers,AU,-20.1,146.2667,69.51,83,0,5.7
110,dzaoudzi,YT,-12.7887,45.2699,82.4,83,0,5.75
111,port elizabeth,ZA,-33.918,25.5701,64.4,72,0,13.8
112,broome,US,42.2506,-75.833,55.0,87,90,12.66
113,klaksvik,FO,62.2266,-6.589,41.0,87,75,23.02
114,trindade,BR,-16.6494,-49.4889,89.6,29,20,8.05
115,jacmel,HT,18.2342,-72.5347,89.6,40,20,19.57
116,bengkulu,ID,-3.8004,102.2655,77.47,90,97,4.61
117,jinchang,CN,38.4953,102.1739,45.12,38,63,4.38
118,trairi,BR,-3.2778,-39.2689,82.87,70,33,6.4
119,plotnikovo,RU,55.0247,85.9436,33.8,80,90,6.71
120,busselton,AU,-33.65,115.3333,55.99,93,0,7.67
121,elizabeth city,US,36.2946,-76.2511,81.0,57,1,19.57
122,new norfolk,AU,-42.7826,147.0587,54.0,63,67,1.99
123,kavaratti,IN,10.5669,72.642,84.02,73,100,5.03
124,east london,ZA,-33.0153,27.9116,62.6,77,20,4.61
125,jand,PK,33.4299,72.0193,74.79,45,45,7.54
126,tiksi,RU,71.6872,128.8694,2.32,99,100,1.39
127,afua,BR,-0.1567,-50.3867,80.29,85,55,4.63
128,hithadhoo,MV,-0.6,73.0833,81.95,79,100,22.1
129,danville,US,36.586,-79.395,71.01,83,90,10.36
130,katsuura,JP,35.1333,140.3,64.4,94,75,12.66
131,ramanuj ganj,IN,23.8,83.7,73.76,18,0,4.5
132,puerto ayora,EC,-0.7393,-90.3518,82.4,78,40,11.5
133,cabo san lucas,MX,22.8909,-109.9124,82.99,49,75,6.76
134,bethel,US,41.3712,-73.414,52.0,97,100,1.99
135,amapa,BR,1.0,-52.0,76.32,96,84,3.71
136,beidao,CN,34.5686,105.8933,57.04,62,98,3.0
137,cherskiy,RU,68.75,161.3,-10.14,92,100,0.43
138,pevek,RU,69.7008,170.3133,-21.41,99,37,1.23
139,neiafu,TO,-18.65,-173.9833,80.6,83,40,6.91
140,thompson,CA,55.7435,-97.8558,24.8,46,75,6.91
141,bandarbeyla,SO,9.4942,50.8122,79.45,72,67,7.27
142,airai,TL,-8.9266,125.4092,60.22,94,100,1.9
143,ponta do sol,PT,32.6667,-17.1,66.2,72,20,11.5
144,saint-augustin,CA,51.226,-58.6502,22.24,61,39,9.26
145,vestmanna,FO,62.1564,-7.1664,41.0,87,75,23.02
146,te anau,NZ,-45.4167,167.7167,55.17,93,83,3.53
147,khani,GE,41.9563,42.9566,41.0,81,0,3.44
148,kulhudhuffushi,MV,6.6221,73.07,84.88,70,88,11.14
149,belmonte,BR,-15.8631,-38.8828,84.2,65,20,18.41
150,esso,RU,55.9333,158.7,0.32,94,78,6.76
151,lagoa,PT,39.05,-27.9833,59.22,83,100,21.07
152,tiznit,MA,29.5833,-9.5,69.48,39,40,6.31
153,plastun,RU,44.7561,136.2939,35.2,97,100,15.17
154,vilhena,BR,-12.7406,-60.1458,82.4,65,40,12.66
155,pangnirtung,CA,66.1451,-65.7125,1.4,55,75,2.3
156,chifeng,CN,42.2683,118.9636,39.07,24,0,19.19
157,kavieng,PG,-2.5744,150.7967,82.35,76,86,13.27
158,salalah,OM,17.0151,54.0924,82.4,65,0,2.3
159,clyde river,CA,70.4692,-68.5914,-4.0,77,1,4.61
160,port hedland,AU,-20.3167,118.5667,82.4,57,77,4.61
161,chokurdakh,RU,70.6333,147.9167,-16.37,100,95,4.5
162,jinka,ET,5.65,36.65,71.92,36,100,2.35
163,coihaique,CL,-45.5752,-72.0662,66.2,55,75,4.61
164,lixourion,GR,38.2019,20.4314,60.8,72,20,3.44
165,sarab,IR,38.6066,44.9883,43.47,43,6,4.59
166,hearst,CA,49.6835,-83.6665,23.0,80,100,11.5
167,cayenne,GF,4.9333,-52.3333,86.0,70,75,21.85
168,qaqortoq,GL,60.7167,-46.0333,26.6,59,0,9.22
169,urumqi,CN,43.801,87.6005,50.0,76,75,2.24
170,richards bay,ZA,-28.783,32.0377,70.05,69,92,8.34
171,xining,CN,36.6167,101.7667,41.7,53,27,2.21
172,baruun-urt,MN,46.6806,113.2792,25.81,48,0,6.33
173,los llanos de aridane,ES,28.6585,-17.9182,69.8,60,40,9.22
174,llata,PE,-9.4167,-76.7833,62.38,65,87,6.4
175,colares,PT,38.7992,-9.4469,71.01,43,0,6.91
176,cabedelo,BR,-6.9811,-34.8339,87.8,70,75,5.75
177,longyearbyen,SJ,78.2186,15.6401,33.8,69,20,4.61
178,altamont,US,42.2068,-121.7372,57.0,33,1,6.6
179,flin flon,CA,54.7682,-101.865,28.4,54,90,10.36
180,buchanan,LR,5.8808,-10.0467,80.6,89,75,5.75
181,key west,US,24.5557,-81.7826,82.4,69,1,12.66
182,ribeira grande,PT,38.5167,-28.7,62.6,72,40,16.11
183,faya,SA,18.3851,42.4509,66.2,67,0,6.91
184,praia,CV,14.9215,-23.5087,73.4,60,40,25.32
185,grand gaube,MU,-20.0064,57.6608,78.01,79,19,2.37
186,bluff,NZ,-46.6,168.3333,52.0,98,100,4.34
187,sisimiut,GL,66.9395,-53.6735,3.34,60,22,5.93
188,palmer,US,42.1584,-72.3287,51.01,100,90,14.5
189,mangawan,IN,24.6833,81.55,84.11,17,0,2.75
190,lorengau,PG,-2.0226,147.2712,81.28,80,95,8.86
191,ginda,IN,30.6945,78.4932,57.16,39,16,7.65
192,challans,FR,46.8436,-1.8749,62.6,51,0,6.91
193,pindiga,NG,9.9833,10.9333,89.6,15,0,10.36
194,kaseda,JP,31.4167,130.3167,53.01,87,9,8.99
195,anadyr,RU,64.75,177.4833,17.6,73,75,20.13
196,byron bay,AU,-28.65,153.6167,64.4,94,40,8.63
197,bambanglipuro,ID,-7.95,110.2833,76.68,89,83,4.12
198,gurupa,BR,-1.405,-51.64,87.44,57,56,3.89
199,saint-philippe,RE,-21.3585,55.7679,78.8,78,0,5.75
200,gat,IL,31.61,34.7642,59.0,44,12,7.76
201,luderitz,NA,-26.6481,15.1594,63.59,84,4,6.46
202,el cobre,CU,20.0489,-75.9469,84.2,61,20,17.27
203,esperance,AU,-33.8667,121.9,59.0,88,0,5.75
204,kita,ML,13.0349,-9.4895,103.1,7,0,3.4
205,tutoia,BR,-2.7619,-42.2744,86.0,70,20,13.8
206,tasiilaq,GL,65.6145,-37.6368,21.2,53,20,6.91
207,saint-pierre,RE,-21.3393,55.4781,78.8,78,0,5.75
208,gandai,IN,21.6667,81.1,83.61,15,0,7.27
209,san quintin,MX,30.4833,-115.95,71.38,26,0,8.16
210,tomatlan,MX,19.9333,-105.25,88.79,28,75,10.0
211,svit,SK,49.0601,20.2069,41.0,45,0,9.22
212,anupgarh,IN,29.1911,73.2086,89.76,10,0,11.65
213,saldanha,ZA,-33.0117,17.9442,71.6,43,100,11.5
214,codrington,AU,-38.2667,141.9667,58.84,87,46,6.13
215,brigantine,US,39.4101,-74.3646,64.99,94,90,17.27
216,fereydunshahr,IR,32.941,50.121,40.55,36,0,4.25
217,aklavik,CA,68.2191,-135.0107,-9.4,59,20,4.61
218,lata,PT,40.1629,-8.3327,72.0,46,35,5.99
219,muzhi,RU,65.3667,64.6667,-1.57,99,84,4.52
220,puerto leguizamo,CO,-0.1934,-74.7819,81.97,77,81,5.41
221,balangir,IN,20.7167,83.4833,79.14,16,0,5.03
222,robertsganj,IN,24.7,83.0667,79.16,11,0,3.44
223,itamaraju,BR,-17.0392,-39.5311,93.16,36,0,11.54
224,torbay,CA,47.6666,-52.7314,28.99,80,75,10.36
225,stettler,CA,52.3168,-112.7186,50.0,46,100,12.66
226,bathsheba,BB,13.2167,-59.5167,82.4,65,20,17.27
227,donzdorf,DE,48.6854,9.8105,55.4,41,0,8.05
