City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,dongsheng,CN,1616636828,39.8161,109.9776,50.23,36,83,18.28
85,tura,IN,1616636828,25.5198,90.2201,83.05,18,6,4.45
86,salinopolis,BR,1616636828,-0.6136,-47.3561,76.51,90,99,7.9
87,lebu,CL,1616636829,-37.6167,-73.65,54.32,68,54,18.61
88,jamestown,US,1616636804,42.097,-79.2353,60.01,72,20,11.72
89,broome,US,1616636829,42.2506,-75.833,55.0,93,90,10.36
90,sitka,US,1616636830,57.0531,-135.33,37.4,87,90,9.22
91,kontagora,NG,1616636830,10.3999,5.4695,79.36,58,27,3.38
92,flinders,AU,1616636831,-34.5833,150.8552,81.0,60,34,1.99
93,crowley,US,1616636831,30.2141,-92.3746,64.99,91,100,4.0
94,luderitz,NA,1616636831,-26.6481,15.1594,63.68,85,1,6.29
95,salalah,OM,1616636686,17.0151,54.0924,75.2,83,20,1.14
96,ribnitz-damgarten,DE,1616636832,54.25,12.4667,42.01,87,75,2.3
97,constitucion,CL,1616636832,-35.3333,-72.4167,53.62,83,84,14.36
98,kodiak,US,1616636833,57.79,-152.4072,44.6,61,90,6.91
99,berlevag,NO,1616636833,70.8578,29.0864,31.46,85,58,12.59
100,klaksvik,FO,1616636833,62.2266,-6.589,37.4,93,75,11.5
101,matara,LK,1616636833,5.9485,80.5353,76.33,89,100,4.99
102,mahanoro,MG,1616636834,-19.9,48.8,74.05,92,57,3.0
103,bengkulu,ID,1616636834,-3.8004,102.2655,77.52,75,100,1.52
104,ejura,GH,1616636835,7.3856,-1.3562,77.43,76,100,8.97
105,barrow,US,1616636835,71.2906,-156.7887,-2.2,71,75,8.05
106,dikson,RU,1616636836,73.5069,80.5464,-0.83,98,96,3.49
107,chokurdakh,RU,1616636836,70.6333,147.9167,-10.53,94,85,6.2
108,saint anthony,US,1616636836,45.0205,-93.218,42.01,75,90,14.97
109,puerto ayora,EC,1616636617,-0.7393,-90.3518,77.0,94,19,3.18
110,veliki trnovac,RS,1616636837,42.4767,21.7405,24.01,89,49,2.77
111,tasiilaq,GL,1616636837,65.6145,-37.6368,5.0,66,75,9.22
112,novoselitskoye,RU,1616636838,44.7508,43.4369,33.8,80,40,17.9
113,hambantota,LK,1616636838,6.1241,81.1185,75.2,100,90,4.61
114,kashi,CN,1616636838,39.4547,75.9797,51.8,17,0,8.95
115,roald,NO,1616636839,62.5833,6.1333,41.0,70,20,11.5
116,rocha,UY,1616636839,-34.4833,-54.3333,61.57,92,2,6.15
117,fort nelson,CA,1616636840,58.8053,-122.7002,21.2,53,90,3.44
118,mgandu,TZ,1616636840,-5.95,34.1333,58.87,97,15,3.85
119,turkistan,KZ,1616636841,43.0,68.0,54.95,54,100,9.08
120,pisco,PE,1616636841,-13.7,-76.2167,68.0,83,0,14.97
121,nshamba,TZ,1616636841,-1.7983,31.5511,61.14,87,100,2.77
122,te anau,NZ,1616636842,-45.4167,167.7167,66.63,50,1,0.74
123,samagaltay,RU,1616636842,50.6022,95.0047,23.27,71,9,2.53
